FECHA_COMPRA;FECHA_ENTREGA;SUCURSAL;VENDEDOR;PRODUCTO;CANTIDAD;ORDEN;DIAS_ENTREGA
2023-11-30;2024-01-04;SUCURSAL 99;VENDEDOR 250;U-8656;4993;70-4957;35
2023-11-24;2024-01-29;SUCURSAL 22;VENDEDOR 497;A-5897;1624;70-8504;66
2023-11-19;2024-01-11;SUCURSAL 26;VENDEDOR 422;L-9876;1783;89-9660;53
2023-11-15;2023-12-02;SUCURSAL 22;VENDEDOR 812;K-623;7224;76-2250;17
2023-11-20;2023-12-20;SUCURSAL 5;VENDEDOR 990;J-1981;435;66-4391;30
2023-11-12;2024-01-01;SUCURSAL 79;VENDEDOR 602;U-5845;2505;71-319;50
2023-11-14;2024-01-03;SUCURSAL 40;VENDEDOR 694;P-103;2028;86-3625;50
2023-11-16;2023-12-02;SUCURSAL 79;VENDEDOR 578;N-4631;1274;90-1106;16
2023-11-27;2023-12-11;SUCURSAL 72;VENDEDOR 710;G-344;6378;89-5077;14
2023-11-07;2024-01-04;SUCURSAL 75;VENDEDOR 964;X-5367;4433;77-7091;58
2023-11-04;2023-12-22;SUCURSAL 81;VENDEDOR 566;X-57;3112;73-6992;48
2023-11-27;2024-01-14;SUCURSAL 79;VENDEDOR 149;N-2732;139;72-9577;48
2023-11-16;2023-12-21;SUCURSAL 73;VENDEDOR 567;J-4754;5155;73-9805;35
2023-11-19;2024-01-22;SUCURSAL 74;VENDEDOR 447;L-9202;5575;68-4332;64
2023-11-21;2023-12-22;SUCURSAL 45;VENDEDOR 172;T-2996;6650;74-1428;31
2023-11-08;2023-12-28;SUCURSAL 87;VENDEDOR 944;R-6255;5328;69-8735;50
2023-11-16;2023-12-14;SUCURSAL 37;VENDEDOR 233;D-5476;1429;88-1896;28
2023-11-23;2024-01-07;SUCURSAL 43;VENDEDOR 792;S-3955;5927;87-4621;45
2023-11-27;2024-01-11;SUCURSAL 96;VENDEDOR 190;V-4060;5345;89-3058;45
2023-11-07;2024-01-29;SUCURSAL 34;VENDEDOR 71;X-6070;2768;83-5357;83
2023-11-15;2024-01-28;SUCURSAL 33;VENDEDOR 536;A-2544;5401;83-3842;74
2023-11-19;2023-12-15;SUCURSAL 69;VENDEDOR 649;R-8457;5562;88-2917;26
2023-11-20;2024-01-22;SUCURSAL 33;VENDEDOR 642;F-3121;4557;70-1165;63
2023-11-23;2023-12-13;SUCURSAL 16;VENDEDOR 30;E-8681;9883;86-864;20
2023-11-21;2023-12-04;SUCURSAL 13;VENDEDOR 266;P-626;5941;89-4607;13
2023-11-22;2023-12-14;SUCURSAL 17;VENDEDOR 818;P-3952;8089;80-4521;22
2023-11-24;2023-12-23;SUCURSAL 94;VENDEDOR 704;C-8990;4633;74-7009;29
2023-11-01;2023-12-20;SUCURSAL 47;VENDEDOR 524;O-2805;9778;65-1115;49
2023-11-19;2023-12-28;SUCURSAL 98;VENDEDOR 865;X-7341;4624;89-4901;39
2023-11-26;2023-12-18;SUCURSAL 70;VENDEDOR 298;S-7089;1166;89-3790;22
2023-11-06;2023-12-12;SUCURSAL 54;VENDEDOR 38;K-9994;7445;85-8150;36
2023-11-16;2023-12-22;SUCURSAL 27;VENDEDOR 110;U-6771;7804;70-8264;36
2023-11-01;2024-01-24;SUCURSAL 59;VENDEDOR 764;P-9663;7031;74-7867;84
2023-11-22;2023-12-20;SUCURSAL 62;VENDEDOR 179;C-4317;5823;87-6761;28
2023-11-21;2023-12-14;SUCURSAL 27;VENDEDOR 644;V-8139;5838;68-426;23
2023-11-09;2024-01-21;SUCURSAL 33;VENDEDOR 525;Z-35;9837;65-9397;73
2023-11-08;2023-12-05;SUCURSAL 83;VENDEDOR 7;V-1934;1397;72-9003;27
2023-11-23;2023-12-04;SUCURSAL 46;VENDEDOR 310;B-4083;7023;78-9227;11
2023-11-30;2023-12-13;SUCURSAL 84;VENDEDOR 771;Z-5125;3706;75-2230;13
2023-11-09;2024-01-05;SUCURSAL 39;VENDEDOR 863;R-277;531;87-925;57
2023-11-21;2023-12-19;SUCURSAL 45;VENDEDOR 19;M-7571;2305;88-3838;28
2023-11-19;2023-12-11;SUCURSAL 35;VENDEDOR 52;Z-6753;5136;89-4305;22
2023-11-07;2023-12-22;SUCURSAL 73;VENDEDOR 357;Z-3993;3063;72-3476;45
2023-11-19;2024-01-11;SUCURSAL 77;VENDEDOR 100;L-9794;4010;75-5270;53
2023-11-21;2024-01-17;SUCURSAL 24;VENDEDOR 538;U-7287;1850;85-8201;57
2023-11-14;2023-12-15;SUCURSAL 83;VENDEDOR 166;P-7511;7838;77-5929;31
2023-11-29;2023-12-26;SUCURSAL 37;VENDEDOR 599;V-5988;4127;69-9327;27
2023-11-06;2023-12-23;SUCURSAL 80;VENDEDOR 823;I-4076;4498;76-4339;47
2023-11-12;2024-01-10;SUCURSAL 80;VENDEDOR 871;Z-4678;4270;81-2632;59
2023-11-09;2024-01-28;SUCURSAL 80;VENDEDOR 742;W-8986;2768;69-1055;80
2023-11-26;2024-01-06;SUCURSAL 94;VENDEDOR 832;G-6244;4931;86-5289;41
2023-11-07;2023-12-19;SUCURSAL 75;VENDEDOR 616;V-2531;3480;68-542;42
2023-11-19;2023-12-13;SUCURSAL 23;VENDEDOR 675;T-6431;9357;88-5137;24
2023-11-25;2023-12-03;SUCURSAL 8;VENDEDOR 532;V-8961;1464;81-2511;8
2023-11-08;2023-12-31;SUCURSAL 98;VENDEDOR 377;V-8401;9204;71-1359;53
2023-11-08;2024-01-29;SUCURSAL 78;VENDEDOR 804;J-7807;3676;67-7520;82
2023-11-05;2024-01-25;SUCURSAL 41;VENDEDOR 716;U-9475;2464;88-4576;81
2023-11-08;2024-01-24;SUCURSAL 15;VENDEDOR 676;L-6169;6795;79-3606;77
2023-11-03;2024-01-29;SUCURSAL 93;VENDEDOR 940;O-5410;7475;68-7990;87
2023-11-28;2023-12-04;SUCURSAL 35;VENDEDOR 410;P-3032;8704;77-9563;6
2023-11-05;2023-12-03;SUCURSAL 95;VENDEDOR 991;G-5599;5553;66-7691;28
2023-11-05;2023-12-28;SUCURSAL 29;VENDEDOR 696;Y-3585;2280;90-9834;53
2023-11-11;2024-01-29;SUCURSAL 74;VENDEDOR 939;A-8216;3457;70-8164;79
2023-11-05;2024-01-27;SUCURSAL 47;VENDEDOR 414;I-6909;8947;88-4684;83
2023-11-24;2023-12-29;SUCURSAL 41;VENDEDOR 224;S-1768;3869;80-9658;35
2023-11-04;2023-12-16;SUCURSAL 64;VENDEDOR 124;N-5243;5999;84-6744;42
2023-11-02;2024-01-18;SUCURSAL 46;VENDEDOR 926;W-8934;9938;83-9702;77
2023-11-07;2024-01-08;SUCURSAL 68;VENDEDOR 818;K-3806;6831;73-6640;62
2023-11-25;2024-01-09;SUCURSAL 25;VENDEDOR 583;Q-9065;2910;81-3068;45
2023-11-26;2024-01-23;SUCURSAL 100;VENDEDOR 980;D-3399;1588;76-4529;58
2023-11-21;2023-12-14;SUCURSAL 73;VENDEDOR 15;W-1727;3848;86-3274;23
2023-11-28;2024-01-11;SUCURSAL 23;VENDEDOR 535;K-5474;5199;88-1676;44
2023-11-26;2023-12-10;SUCURSAL 86;VENDEDOR 715;L-1390;3571;83-912;14
2023-11-30;2024-01-12;SUCURSAL 68;VENDEDOR 783;P-3044;7371;89-5064;43
2023-11-19;2024-01-13;SUCURSAL 44;VENDEDOR 644;E-4947;5942;71-2747;55
2023-11-25;2024-01-31;SUCURSAL 34;VENDEDOR 86;D-4037;5396;85-1472;67
2023-11-21;2023-12-17;SUCURSAL 91;VENDEDOR 305;T-9124;482;65-8848;26
2023-11-20;2023-12-10;SUCURSAL 47;VENDEDOR 185;I-8203;9050;72-3634;20
2023-11-14;2024-01-12;SUCURSAL 59;VENDEDOR 534;D-5897;8246;66-6023;59
2023-11-23;2023-12-04;SUCURSAL 89;VENDEDOR 629;Q-6535;3773;85-915;11
2023-11-01;2023-12-20;SUCURSAL 17;VENDEDOR 692;A-6265;6236;65-9559;49
2023-11-30;2024-01-30;SUCURSAL 52;VENDEDOR 205;T-2028;5319;77-4879;61
2023-11-23;2023-12-13;SUCURSAL 8;VENDEDOR 171;N-1502;7222;76-7305;20
2023-11-22;2024-01-01;SUCURSAL 13;VENDEDOR 720;V-7421;3865;65-1576;40
2023-11-07;2024-01-27;SUCURSAL 40;VENDEDOR 3;G-6530;3349;70-2951;81
2023-11-28;2023-12-18;SUCURSAL 70;VENDEDOR 135;P-7788;1231;70-8163;20
2023-11-11;2023-12-09;SUCURSAL 12;VENDEDOR 142;N-7519;7287;76-2954;28
2023-11-05;2023-12-01;SUCURSAL 47;VENDEDOR 280;B-8893;8565;76-2821;26
2023-11-30;2023-12-21;SUCURSAL 86;VENDEDOR 137;Y-9249;6734;71-7822;21
2023-11-12;2023-12-16;SUCURSAL 32;VENDEDOR 356;M-940;8680;87-1110;34
2023-11-23;2024-01-17;SUCURSAL 56;VENDEDOR 417;R-9248;573;72-5329;55
2023-11-15;2024-01-09;SUCURSAL 2;VENDEDOR 891;G-428;7790;79-3054;55
2023-11-28;2023-12-09;SUCURSAL 84;VENDEDOR 146;I-9959;3352;90-2906;11
2023-11-14;2024-01-29;SUCURSAL 99;VENDEDOR 701;D-9151;6926;82-3425;76
2023-11-17;2023-12-22;SUCURSAL 27;VENDEDOR 575;J-454;2483;77-2189;35
2023-11-26;2024-01-15;SUCURSAL 22;VENDEDOR 953;E-3375;8919;86-8432;50
2023-11-07;2024-01-31;SUCURSAL 38;VENDEDOR 680;T-6051;4520;80-2405;85
2023-11-07;2023-12-19;SUCURSAL 39;VENDEDOR 296;Q-6437;5933;82-1583;42
2023-11-26;2024-01-26;SUCURSAL 56;VENDEDOR 321;J-2241;1545;89-5214;61
2023-11-09;2024-01-29;SUCURSAL 92;VENDEDOR 139;M-1672;2485;76-5183;81
2023-11-23;2024-01-12;SUCURSAL 91;VENDEDOR 275;M-5689;7619;74-9238;50
2023-11-27;2023-12-18;SUCURSAL 67;VENDEDOR 285;M-746;9056;69-3093;21
2023-11-08;2024-01-29;SUCURSAL 100;VENDEDOR 156;C-8553;4235;73-5905;82
2023-11-25;2024-01-15;SUCURSAL 34;VENDEDOR 293;A-7945;5638;76-8184;51
2023-11-15;2024-01-12;SUCURSAL 55;VENDEDOR 676;J-7445;537;74-5114;58
2023-11-25;2024-01-09;SUCURSAL 24;VENDEDOR 300;V-3592;720;75-7889;45
2023-11-28;2024-01-19;SUCURSAL 22;VENDEDOR 296;P-191;3732;78-1595;52
2023-11-17;2023-12-14;SUCURSAL 3;VENDEDOR 935;D-3067;7890;67-5195;27
2023-11-23;2023-12-18;SUCURSAL 33;VENDEDOR 901;U-5491;1629;74-8277;25
2023-11-27;2024-01-24;SUCURSAL 76;VENDEDOR 225;V-6281;6883;72-4476;58
2023-11-14;2023-12-13;SUCURSAL 81;VENDEDOR 164;G-1840;9897;68-3260;29
2023-11-19;2023-12-04;SUCURSAL 99;VENDEDOR 658;U-245;7719;84-1123;15
2023-11-15;2024-01-12;SUCURSAL 86;VENDEDOR 269;G-5722;7468;68-4909;58
2023-11-18;2023-12-31;SUCURSAL 67;VENDEDOR 477;K-6025;4121;86-3313;43
2023-11-24;2023-12-29;SUCURSAL 64;VENDEDOR 768;V-2559;1079;70-2599;35
2023-11-19;2024-01-12;SUCURSAL 7;VENDEDOR 404;M-2038;5299;83-2422;54
2023-11-20;2024-01-20;SUCURSAL 77;VENDEDOR 731;Z-8429;3630;79-8028;61
2023-11-04;2023-12-25;SUCURSAL 10;VENDEDOR 654;E-8528;9226;88-5975;51
2023-11-25;2023-12-07;SUCURSAL 19;VENDEDOR 427;U-3826;7389;82-3999;12
2023-11-21;2024-01-28;SUCURSAL 70;VENDEDOR 246;J-585;9394;70-8472;68
2023-11-07;2023-12-09;SUCURSAL 97;VENDEDOR 9;G-8408;4091;77-9716;32
2023-11-28;2024-01-09;SUCURSAL 81;VENDEDOR 5;N-1450;1983;75-5922;42
2023-11-20;2024-01-02;SUCURSAL 63;VENDEDOR 47;O-4505;8555;83-2493;43
2023-11-10;2023-12-04;SUCURSAL 8;VENDEDOR 348;M-803;2422;78-4980;24
2023-11-27;2023-12-02;SUCURSAL 75;VENDEDOR 538;N-9359;5205;86-8635;5
2023-11-27;2024-01-04;SUCURSAL 42;VENDEDOR 559;V-6954;8535;77-5968;38
2023-11-20;2023-12-14;SUCURSAL 18;VENDEDOR 834;C-6913;5461;82-8844;24
2023-11-19;2023-12-10;SUCURSAL 50;VENDEDOR 119;N-7317;2599;84-2934;21
2023-11-02;2024-01-31;SUCURSAL 52;VENDEDOR 927;M-5469;7126;84-3521;90
2023-11-06;2023-12-16;SUCURSAL 37;VENDEDOR 271;G-4106;1882;76-6003;40
2023-11-21;2024-01-14;SUCURSAL 2;VENDEDOR 469;K-2908;8757;84-2356;54
2023-11-23;2024-01-04;SUCURSAL 76;VENDEDOR 238;K-1520;9500;75-6644;42
2023-11-03;2023-12-29;SUCURSAL 42;VENDEDOR 484;T-9595;8971;71-5148;56
2023-11-07;2024-01-17;SUCURSAL 2;VENDEDOR 446;N-4332;5587;67-2476;71
2023-11-08;2023-12-05;SUCURSAL 17;VENDEDOR 369;E-910;8451;77-4144;27
2023-11-15;2023-12-24;SUCURSAL 18;VENDEDOR 227;E-3737;173;79-27;39
2023-11-16;2024-01-23;SUCURSAL 91;VENDEDOR 986;G-8660;3740;76-7507;68
2023-11-07;2024-01-21;SUCURSAL 58;VENDEDOR 97;E-2886;4615;89-9434;75
2023-11-12;2023-12-19;SUCURSAL 45;VENDEDOR 96;H-3662;9510;77-8112;37
2023-11-01;2024-01-31;SUCURSAL 10;VENDEDOR 352;Q-1176;6000;75-9647;91
2023-11-01;2024-01-21;SUCURSAL 6;VENDEDOR 389;U-7327;2965;68-5261;81
2023-11-13;2023-12-09;SUCURSAL 8;VENDEDOR 434;A-1998;4377;83-1083;26
2023-11-11;2023-12-21;SUCURSAL 58;VENDEDOR 447;D-6103;8827;74-6277;40
2023-11-01;2024-01-18;SUCURSAL 24;VENDEDOR 941;A-4167;5112;69-16;78
2023-11-08;2024-01-14;SUCURSAL 75;VENDEDOR 491;C-571;9503;85-6086;67
2023-11-19;2024-01-31;SUCURSAL 27;VENDEDOR 44;D-3964;7622;72-1179;73
2023-11-04;2024-01-30;SUCURSAL 42;VENDEDOR 384;S-2139;9632;70-5899;87
2023-11-13;2023-12-23;SUCURSAL 96;VENDEDOR 691;D-9852;1875;74-6367;40
2023-11-03;2023-12-29;SUCURSAL 52;VENDEDOR 403;X-1305;3672;84-5580;56
2023-11-25;2023-12-23;SUCURSAL 60;VENDEDOR 112;M-4196;8652;77-7321;28
2023-11-19;2023-12-22;SUCURSAL 46;VENDEDOR 798;K-8389;4729;89-9120;33
2023-11-17;2023-12-01;SUCURSAL 88;VENDEDOR 419;Z-7482;2110;87-1993;14
2023-11-10;2023-12-16;SUCURSAL 98;VENDEDOR 911;A-300;1609;78-3878;36
2023-11-09;2023-12-14;SUCURSAL 53;VENDEDOR 789;X-4049;5160;79-349;35
2023-11-28;2023-12-31;SUCURSAL 48;VENDEDOR 381;I-7039;8641;81-1360;33
2023-11-21;2024-01-14;SUCURSAL 51;VENDEDOR 820;I-8745;712;87-2418;54
2023-11-21;2024-01-15;SUCURSAL 40;VENDEDOR 523;A-8777;384;81-9192;55
2023-11-21;2024-01-29;SUCURSAL 67;VENDEDOR 642;J-5030;6403;79-3610;69
2023-11-06;2023-12-30;SUCURSAL 46;VENDEDOR 743;X-5203;5762;88-8505;54
2023-11-27;2024-01-24;SUCURSAL 63;VENDEDOR 67;C-384;619;68-8546;58
2023-11-13;2023-12-07;SUCURSAL 43;VENDEDOR 406;P-9199;2617;79-4289;24
2023-11-21;2024-01-12;SUCURSAL 13;VENDEDOR 565;Q-271;4141;76-2774;52
2023-11-23;2023-12-27;SUCURSAL 66;VENDEDOR 803;C-2695;8322;88-5312;34
2023-11-13;2023-12-07;SUCURSAL 26;VENDEDOR 916;A-3901;5391;65-844;24
2023-11-30;2024-01-16;SUCURSAL 65;VENDEDOR 605;M-1013;370;78-7091;47
2023-11-11;2024-01-14;SUCURSAL 25;VENDEDOR 258;H-3557;2377;81-4468;64
2023-11-23;2023-12-10;SUCURSAL 81;VENDEDOR 382;Z-1971;4877;77-5554;17
2023-11-03;2023-12-14;SUCURSAL 5;VENDEDOR 983;M-6492;3288;81-1093;41
2023-11-22;2023-12-10;SUCURSAL 12;VENDEDOR 175;C-3265;5585;81-5164;18
2023-11-21;2023-12-25;SUCURSAL 36;VENDEDOR 373;K-5214;7632;68-2287;34
2023-11-23;2024-01-27;SUCURSAL 54;VENDEDOR 415;A-3215;4510;79-8139;65
2023-11-06;2024-01-28;SUCURSAL 95;VENDEDOR 647;C-7477;2680;75-2808;83
2023-11-14;2023-12-24;SUCURSAL 18;VENDEDOR 363;N-8288;8211;83-1242;40
2023-11-15;2024-01-18;SUCURSAL 61;VENDEDOR 713;W-5096;5981;68-7594;64
2023-11-12;2024-01-29;SUCURSAL 45;VENDEDOR 700;Z-2622;2411;86-9346;78
2023-11-26;2023-12-10;SUCURSAL 32;VENDEDOR 858;K-3874;7922;87-1985;14
2023-11-26;2023-12-21;SUCURSAL 93;VENDEDOR 93;L-8242;5618;69-8065;25
2023-11-27;2024-01-30;SUCURSAL 74;VENDEDOR 809;K-7240;4054;85-7415;64
2023-11-12;2023-12-26;SUCURSAL 50;VENDEDOR 285;V-1190;2186;67-7755;44
2023-11-23;2024-01-31;SUCURSAL 7;VENDEDOR 444;P-7944;4464;78-7907;69
2023-11-30;2024-01-22;SUCURSAL 6;VENDEDOR 389;P-5846;9085;70-3230;53
2023-11-18;2023-12-05;SUCURSAL 57;VENDEDOR 276;A-6061;5802;72-4048;17
2023-11-03;2023-12-08;SUCURSAL 5;VENDEDOR 659;G-9426;2602;69-4938;35
2023-11-26;2024-01-01;SUCURSAL 26;VENDEDOR 159;R-1493;9964;77-7824;36
2023-11-08;2024-01-26;SUCURSAL 29;VENDEDOR 820;T-777;467;76-384;79
2023-11-21;2023-12-29;SUCURSAL 30;VENDEDOR 184;N-1530;5403;82-1940;38
2023-11-10;2023-12-24;SUCURSAL 45;VENDEDOR 784;P-4275;690;83-2302;44
2023-11-26;2023-12-26;SUCURSAL 24;VENDEDOR 567;L-7551;4361;72-295;30
2023-11-03;2023-12-22;SUCURSAL 88;VENDEDOR 480;D-6797;8985;74-7973;49
2023-11-23;2023-12-21;SUCURSAL 7;VENDEDOR 71;Z-2867;4027;84-9809;28
2023-11-26;2024-01-03;SUCURSAL 49;VENDEDOR 929;R-8660;6133;73-202;38
2023-11-02;2024-01-27;SUCURSAL 50;VENDEDOR 956;U-4285;9804;87-3747;86
2023-11-06;2024-01-09;SUCURSAL 31;VENDEDOR 210;I-3172;5702;90-587;64
2023-11-23;2024-01-24;SUCURSAL 73;VENDEDOR 97;J-3387;5422;78-20;62
2023-11-29;2024-01-20;SUCURSAL 26;VENDEDOR 105;Z-2899;9197;86-7474;52
2023-11-17;2023-12-24;SUCURSAL 66;VENDEDOR 619;U-3809;6222;87-4917;37
2023-11-01;2023-12-10;SUCURSAL 22;VENDEDOR 280;L-8350;6529;87-1519;39
2023-11-11;2023-12-15;SUCURSAL 7;VENDEDOR 179;J-1673;4216;77-6654;34
2023-11-07;2024-01-28;SUCURSAL 39;VENDEDOR 258;E-7164;7085;87-4613;82
2023-11-19;2023-12-18;SUCURSAL 10;VENDEDOR 318;S-5243;3358;79-7345;29
2023-11-09;2024-01-11;SUCURSAL 29;VENDEDOR 634;F-4525;1473;85-5666;63
2023-11-19;2024-01-08;SUCURSAL 86;VENDEDOR 529;U-2905;1574;66-3122;50
2023-11-10;2023-12-17;SUCURSAL 99;VENDEDOR 345;E-359;7799;88-2959;37
2023-11-08;2024-01-16;SUCURSAL 6;VENDEDOR 847;A-7961;8289;82-7281;69
2023-11-20;2023-12-08;SUCURSAL 74;VENDEDOR 243;C-6449;2332;70-8778;18
2023-11-25;2023-12-03;SUCURSAL 80;VENDEDOR 156;N-440;3739;69-1598;8
2023-11-18;2023-12-06;SUCURSAL 5;VENDEDOR 818;G-8092;619;83-7765;18
2023-11-14;2024-01-29;SUCURSAL 16;VENDEDOR 423;X-5793;9022;90-614;76
2023-11-30;2024-01-06;SUCURSAL 95;VENDEDOR 9;V-7146;8848;75-2824;37
2023-11-09;2024-01-05;SUCURSAL 75;VENDEDOR 156;F-2331;1555;67-3;57
2023-11-18;2024-01-22;SUCURSAL 26;VENDEDOR 368;C-8335;4199;74-374;65
2023-11-06;2024-01-03;SUCURSAL 78;VENDEDOR 627;F-7661;9223;89-9372;58
2023-11-28;2023-12-10;SUCURSAL 53;VENDEDOR 65;T-1035;1975;81-2595;12
2023-11-08;2023-12-31;SUCURSAL 52;VENDEDOR 547;L-2953;375;68-1196;53
2023-11-26;2023-12-02;SUCURSAL 16;VENDEDOR 457;Z-5955;9400;74-2376;6
2023-11-19;2023-12-19;SUCURSAL 37;VENDEDOR 853;X-4069;9293;75-4747;30
2023-11-06;2023-12-25;SUCURSAL 21;VENDEDOR 460;K-765;9325;83-4584;49
2023-11-19;2024-01-22;SUCURSAL 18;VENDEDOR 735;E-5533;4307;68-9434;64
2023-11-24;2024-01-15;SUCURSAL 79;VENDEDOR 431;R-494;5954;70-2009;52
2023-11-26;2024-01-19;SUCURSAL 42;VENDEDOR 607;B-9702;6602;73-2991;54
2023-11-05;2023-12-11;SUCURSAL 34;VENDEDOR 870;V-6664;9427;79-2664;36
2023-11-09;2023-12-25;SUCURSAL 9;VENDEDOR 234;Z-9343;8013;72-8919;46
2023-11-26;2023-12-15;SUCURSAL 44;VENDEDOR 109;M-375;1041;82-3660;19
2023-11-30;2023-12-09;SUCURSAL 29;VENDEDOR 704;Z-8021;8428;80-7626;9
2023-11-29;2024-01-02;SUCURSAL 61;VENDEDOR 733;V-5935;1410;67-1587;34
2023-11-02;2023-12-08;SUCURSAL 62;VENDEDOR 147;R-6930;9242;74-1457;36
2023-11-11;2023-12-06;SUCURSAL 60;VENDEDOR 621;Z-2552;9041;72-9405;25
2023-11-05;2023-12-03;SUCURSAL 12;VENDEDOR 979;O-6036;3699;79-5203;28
2023-11-10;2024-01-07;SUCURSAL 29;VENDEDOR 392;T-9878;4610;87-8128;58
2023-11-18;2024-01-16;SUCURSAL 20;VENDEDOR 237;H-532;1103;90-4501;59
2023-11-03;2024-01-20;SUCURSAL 95;VENDEDOR 154;Q-7232;8012;82-8914;78
2023-11-22;2024-01-03;SUCURSAL 89;VENDEDOR 778;P-1600;2408;78-7865;42
2023-11-20;2023-12-25;SUCURSAL 84;VENDEDOR 61;S-3704;7142;67-4889;35
2023-11-25;2023-12-14;SUCURSAL 47;VENDEDOR 465;A-6200;3408;81-1174;19
2023-11-28;2023-12-07;SUCURSAL 85;VENDEDOR 638;G-1366;6591;66-9742;9
2023-11-21;2023-12-28;SUCURSAL 24;VENDEDOR 853;D-8714;3157;86-3742;37
2023-11-17;2023-12-10;SUCURSAL 45;VENDEDOR 418;B-7224;8828;66-4627;23
2023-11-21;2024-01-22;SUCURSAL 43;VENDEDOR 682;S-9854;5124;73-3508;62
2023-11-08;2023-12-26;SUCURSAL 24;VENDEDOR 22;X-7230;3585;86-7272;48
2023-11-22;2023-12-01;SUCURSAL 59;VENDEDOR 83;D-1111;6598;81-8130;9
2023-11-14;2024-01-16;SUCURSAL 25;VENDEDOR 301;N-1359;4953;74-5812;63
2023-11-27;2023-12-30;SUCURSAL 10;VENDEDOR 129;C-6955;5623;74-4248;33
2023-11-08;2023-12-31;SUCURSAL 12;VENDEDOR 866;N-464;8145;89-3788;53
2023-11-16;2023-12-19;SUCURSAL 69;VENDEDOR 63;I-8752;2530;77-3358;33
2023-11-29;2023-12-16;SUCURSAL 11;VENDEDOR 813;C-4072;8866;79-3910;17
2023-11-26;2024-01-05;SUCURSAL 78;VENDEDOR 270;E-585;5710;76-6005;40
2023-11-27;2024-01-07;SUCURSAL 32;VENDEDOR 322;V-4268;3261;85-521;41
2023-11-25;2024-01-21;SUCURSAL 90;VENDEDOR 752;W-2022;8674;74-2061;57
2023-11-07;2023-12-01;SUCURSAL 35;VENDEDOR 157;O-7263;8884;83-2071;24
2023-11-04;2023-12-18;SUCURSAL 76;VENDEDOR 253;Q-1407;5796;76-3219;44
2023-11-20;2024-01-07;SUCURSAL 97;VENDEDOR 349;N-1241;2652;85-6565;48
2023-11-04;2024-01-24;SUCURSAL 47;VENDEDOR 984;A-8455;7338;80-381;81
2023-11-26;2024-01-30;SUCURSAL 36;VENDEDOR 424;V-5814;4190;67-7092;65
2023-11-22;2023-12-24;SUCURSAL 11;VENDEDOR 648;H-8178;2257;83-154;32
2023-11-22;2023-12-28;SUCURSAL 79;VENDEDOR 415;Z-6982;6640;76-4143;36
2023-11-29;2023-12-12;SUCURSAL 66;VENDEDOR 94;C-8368;4403;66-8877;13
2023-11-26;2023-12-13;SUCURSAL 81;VENDEDOR 821;E-2577;2991;67-2337;17
2023-11-04;2023-12-17;SUCURSAL 67;VENDEDOR 447;I-4856;6593;79-7761;43
2023-11-22;2023-12-14;SUCURSAL 71;VENDEDOR 247;U-8566;7764;69-5667;22
2023-11-19;2024-01-30;SUCURSAL 63;VENDEDOR 854;K-1801;6434;77-7873;72
2023-11-24;2024-01-15;SUCURSAL 2;VENDEDOR 723;N-7973;2690;71-5902;52
2023-11-11;2023-12-26;SUCURSAL 98;VENDEDOR 121;A-6606;5933;89-198;45
2023-11-02;2024-01-09;SUCURSAL 64;VENDEDOR 37;H-1821;9820;67-1669;68
2023-11-06;2024-01-18;SUCURSAL 49;VENDEDOR 249;D-6512;4699;77-5806;73
2023-11-07;2023-12-11;SUCURSAL 72;VENDEDOR 921;M-6894;1781;73-4379;34
2023-11-28;2024-01-19;SUCURSAL 39;VENDEDOR 606;D-7645;9714;69-9908;52
2023-11-15;2024-01-17;SUCURSAL 34;VENDEDOR 243;Q-8566;1479;81-8164;63
2023-11-19;2024-01-23;SUCURSAL 95;VENDEDOR 894;P-5204;2853;86-2138;65
2023-11-22;2024-01-13;SUCURSAL 40;VENDEDOR 422;H-4147;7409;74-8370;52
2023-11-29;2024-01-29;SUCURSAL 28;VENDEDOR 39;E-606;5639;87-2122;61
2023-11-28;2023-12-11;SUCURSAL 52;VENDEDOR 448;K-3774;2567;72-5164;13
2023-11-10;2023-12-18;SUCURSAL 99;VENDEDOR 557;B-7382;5619;82-7564;38
2023-11-24;2024-01-18;SUCURSAL 81;VENDEDOR 62;A-4227;970;87-5189;55
2023-11-09;2024-01-27;SUCURSAL 80;VENDEDOR 327;F-1337;7956;81-4492;79
2023-11-08;2023-12-19;SUCURSAL 64;VENDEDOR 217;U-8137;8518;88-4893;41
2023-11-04;2024-01-13;SUCURSAL 91;VENDEDOR 146;K-7073;6406;65-5434;70
2023-11-09;2023-12-02;SUCURSAL 67;VENDEDOR 678;R-7287;7665;84-3067;23
2023-11-18;2024-01-28;SUCURSAL 41;VENDEDOR 919;B-1143;3984;83-4577;71
2023-11-06;2023-12-28;SUCURSAL 71;VENDEDOR 108;R-2720;8263;86-2094;52
2023-11-19;2024-01-26;SUCURSAL 42;VENDEDOR 755;Q-2205;3255;75-810;68
2023-11-05;2023-12-31;SUCURSAL 54;VENDEDOR 500;F-9989;2639;89-5194;56
2023-11-04;2023-12-17;SUCURSAL 71;VENDEDOR 70;A-2372;278;74-7627;43
2023-11-23;2023-12-22;SUCURSAL 77;VENDEDOR 232;M-5444;3314;75-808;29
2023-11-22;2024-01-03;SUCURSAL 30;VENDEDOR 168;T-8400;8415;79-2397;42
2023-11-03;2024-01-12;SUCURSAL 25;VENDEDOR 880;S-9510;5617;74-6835;70
